ReturnForPortfolio,Percentile,Weight_equity,Weight_Gold,Weight_Gsec
0.14853113322852932,0.04995004995004995,0.3833342028599774,0.31706715399674246,0.29959864314328016,
0.14859794805607077,0.14985014985014986,0.3704825809702597,0.32981660999069234,0.29970080903904794,
0.14863670106497892,0.24975024975024976,0.3610242110721686,0.3391202792649136,0.2998555096629178,
0.14873351871579982,0.34965034965034963,0.39254404022243633,0.30984010336628576,0.2976158564112779,
0.14877825525273392,0.44955044955044954,0.3787322920430614,0.32333550558401564,0.29793220237292295,
0.1489397040561087,0.5494505494505495,0.3761160604264295,0.32705903386884333,0.2968249057047272,
0.14904575946668175,0.6493506493506493,0.31799055441619745,0.3832259194771984,0.29878352610660414,
0.14904697174404063,0.7492507492507493,0.29459361586500304,0.40551798527964855,0.2998883988553484,
0.14906348762793056,0.8491508491508492,0.3524006404488424,0.3505896518515469,0.2970097076996107,
0.1490705481676706,0.949050949050949,0.302205165172214,0.398448776506412,0.299346058321374,
0.14912398411318417,1.048951048951049,0.3009752729738449,0.4000278271373676,0.2989968998887875,
0.14921457804576155,1.1488511488511488,0.3667340459121227,0.3380916201281094,0.2951743339597679,
0.1492527252292219,1.2487512487512487,0.3773607690908924,0.328261991914389,0.2943772389947186,
0.1492870355991935,1.3486513486513487,0.3305167673609997,0.3731371545738078,0.29634607806519253,
0.14929459709970166,1.4485514485514486,0.2698998729767052,0.43092527040623674,0.299174856617058,
0.14933629501697496,1.5484515484515484,0.28870501369210927,0.41333375965148456,0.2979612266564062,
0.14934749166895192,1.6483516483516483,0.4069886132050799,0.3007680568975496,0.2922433298973705,
0.14937802823699325,1.7482517482517483,0.32366737440774856,0.38035467771920484,0.29597794787304665,
0.14938351763739244,1.8481518481518482,0.37070439092726887,0.335599369180559,0.29369623989217214,
0.14948396758898805,1.948051948051948,0.3698653149516194,0.33716493710659284,0.29296974794178776,
0.14949607373024915,2.047952047952048,0.2205441024408063,0.4794680978885242,0.2999877996706696,
0.14951695901953366,2.1478521478521477,0.3018550406749185,0.40218840656025767,0.2959565527648239,
0.14954180300201467,2.247752247752248,0.2876631601700343,0.415894056843876,0.2964427829860897,
0.14955352793062532,2.347652347652348,0.3818030954289792,0.3263263687594614,0.29187053581155936,
0.1495763581980236,2.4475524475524475,0.23941588883648995,0.4621075358418102,0.29847657532169986,
